description,height,weight,base_experience,is_legendary,is_mythical,generation,hp,attack,defense,special-attack,special-defense,speed
"Pronađen širom regiona Galar, ovaj Pokemon postaje nelagodan ako su mu obrazi ikada potpuno prazni od bobica. Neprestano jede bobice - navika koja ga je učinila otpornijim nego što izgleda. Pojaviće se na farmama, tražeći još bobica.",3,25,55,FALSE,FALSE,generation-viii,70,55,55,35,35,25
"Živi blizu vode. Njegov dugačak rep je izbočen sa perajem koje se često pogrešno smatra sireninim. Njegova ćelijska struktura je slična molekulima vode. Otopiće se i postati nevidljiv u vodi. Kada VAPOREON-ova peraja počnu da vibriraju, to je znak da će kiša doći za nekoliko sati.",10,290,184,FALSE,FALSE,generation-i,130,65,60,110,95,65
"Ovaj Pokemon ima vilicu koja je oštra kao koplje i jaka kao čelik. Očigledno je i Barraskevdino meso iznenađujuće ukusno. Okreće svoja repna peraja da bi se pokrenula, jureći napred brzinom od preko 100 čvorova pre nego što nabije plen i zabije ga kopljem.",13,300,172,FALSE,FALSE,generation-viii,61,123,60,60,50,136
"Predvodi grupu Pavniarda. Bori se da postane šef, ali će biti izbačen iz grupe ako izgubi. Bišarp proganja plen u društvu velike grupe Pavniarda. Onda Bišarp dokrajči plen. Ovaj nemilosrdni Pokemon naređuje grupi Pavniarda da lovi plen do nepokretnosti. Zatim se kreće da dokrajči plen.",16,700,172,FALSE,FALSE,generation-v,65,125,100,60,70,70
"Koristi finu dlaku koja prekriva njegovo telo da oseti vazdušne struje i predvidi svoje postupke. Čitajući vazdušne struje, može da predvidi stvari kao što su vreme ili sledeći potez svog neprijatelja. Vrh njegovog račvastog repa podrhtava kada predviđa sledeći potez svog protivnika.",9,265,184,FALSE,FALSE,generation-ii,65,65,60,130,95,110
"Ima saosećajnu ličnost, ali ako je ljuta, svojim intenzivnim dahom potpuno uništava svoju okolinu. Ovaj Pokemon je prijateljski raspoložen prema ljudima i najviše voli decu. Dolazi iz dubokih planina da se igra sa decom koju voli u gradu. Ako je maltretirano dete sa kojim se sprijateljilo, Drampa će pronaći nasilnikovu kuću i spaliti je do temelja.",30,1850,170,FALSE,FALSE,generation-vii,78,60,85,135,91,36
Voli da se igra sa drugima svoje vrste koristeći vodeni prsten na repu. Koristi ultrazvučne talase da oseti emocije drugih živih bića. Njegov vodeni prsten je napravljen od morske vode pomešane sa lepljivom tečnošću koju Finizen luči iz svog duvačkog otvora.,13,602,63,FALSE,FALSE,generation-ix,70,45,40,45,40,75
"CIMECHO čini da njegovi krici odjekuju unutar njegovog šupljeg tela. Kada se ovaj POKeMON razbesne, njegovi krici rezultiraju ultrazvučnim talasima koji imaju moć da obore neprijatelje koji lete. Na jakom vetru, CHIMECHO plače dok visi sa grane drveta ili strehe zgrade koristeći usisnu čašu na glavi. Ovaj POKeMON čupa bobice svojim dugim repom i jede ih. Vrlo aktivno lete kada dođe vruća sezona. Oni međusobno komuniciraju koristeći sedam različitih i prepoznatljivih povika.",6,10,159,FALSE,FALSE,generation-iii,75,50,80,95,90,65
"VAILMER-ove nozdrve se nalaze iznad očiju. Ovaj razigrani POKeMON voli da zastraši ljude nasilnim šmrkanjem morske vode koju čuva u svom telu iz nozdrva. VAILMER može da skladišti vodu u svom telu da bi se transformisao u loptu za poskakivanje po zemlji. Napunivši se sa više vode, ovaj POKeMON može podići visinu svojih odskoka. Iako ovaj POKeMON obično živi u moru, može preživeti na kopnu, iako ne predugo. Gubi vitalnost ako mu se telo isuši.",20,1300,80,FALSE,FALSE,generation-iii,130,70,35,70,35,60
"Spušta se niz padine da se kreće. Prevrće se preko bilo koje prepreke bez usporavanja ili promene smera. Često se može videti kako se kotrlja niz planinske staze. Prepreke su samo stvari koje treba prevrnuti, a ne izbegavati. Slobodne i bezbrižne prirode, nema ništa protiv ako se komadi odlome dok se kotrlja niz planine.",10,1050,137,FALSE,FALSE,generation-i,55,95,115,45,45,35
"Živi sam, daleko od drugih. Očigledno, svako od njih veruje da je to najvažnije. Njegova krila zadaju zle udarce koji lome i najdeblje drveće. Traži plen u ledenim morima. Pošto svaki PRINPLUP sebe smatra najvažnijim, oni nikada ne mogu da formiraju grupu.",8,230,142,FALSE,FALSE,generation-iv,64,66,68,81,76,50
"Skoro nesposoban da se kreće, ovaj POKeMON može samo da očvrsne svoju školjku da bi se zaštitio od predatora. Može da se kreće samo malo. Kada je ugrožena, može ispružiti žalac i otrovati svog neprijatelja. Iako je čaura, može se malo pomeriti. Može proširiti svoju otrovnu bodljiku ako je napadnuta.",6,100,72,FALSE,FALSE,generation-i,45,25,50,25,25,35
"LINOONE uvek radi punom brzinom i samo po pravim linijama. Ako se suoči sa preprekom, skreće pod pravim uglom da bi je izbegao. Ovaj POKeMON je veoma izazovan putevima koji se lagano zavijaju. Prilikom lova, LINOONE će u punom trku krenuti pravo ka plenu. Iako ovaj POKeMON može dostići brzinu od 60 milja na sat, mora da se zaustavi pre nego što se okrene. Izuzetno je brz ako samo mora da trči pravolinijski. Kada pod vodom uoči plen koji živi u bari, brzo uskoči i uhvati ga svojim oštrim kandžama.",5,325,147,FALSE,FALSE,generation-iii,78,70,61,50,61,100
"Kada gađa neprijatelja, bijesno juriša dok šiba svoje telo svojim dugim repovima. Bučni POKeMON sa puno izdržljivosti. Jednom kada trči, neće stati dok ne udari u nešto. Oni se bore jedni protiv drugih rogovima. Zaštitnik stada ponosi se svojim rogovima sa ožiljcima od šišmiša.",14,884,172,FALSE,FALSE,generation-i,75,100,95,40,70,110
"Ovi ptičji Pokemoni su odlični ronioci. Oni plivaju u vodi jedući svoju omiljenu hranu - tresetnu mahovinu. Kada je napadnut, koristi svoje perje da prska vodu, bežeći pod okriljem spreja. Oni bolje plivaju nego lete i rado jedu svoju omiljenu hranu, tresetnu mahovinu, dok rone pod vodom.",5,55,61,FALSE,FALSE,generation-v,62,44,50,44,50,55
"Takmičeći se za teritoriju, Crustle se žestoko bori. Onaj čija je gromada slomljena je gubitnik bitke. Poseduje noge ogromne snage, što mu omogućava da nosi teške ploče mnogo dana, čak i kada prelazi bezvodno zemljište. Kada se njegova stena razbije u bitkama za teritoriju, oseća se nesigurno i počinje da slabi.",14,2000,170,FALSE,FALSE,generation-v,70,105,125,65,75,45
"Jedna od nekoliko misterioznih Ultra zveri. Ljudi na ulici prijavljuju da posmatraju kako oni koji su zaraženi odjednom postaju nasilni. Jedna od Ultra zveri. Nije jasno da li je ovaj Pokemon razuman ili ne, ali ponekad se može primetiti da se ponaša kao mlada devojka. Životni oblik iz drugog sveta, nazvan je UB i smatra se da proizvodi jak neurotoksin.",12,555,257,FALSE,FALSE,generation-vii,109,53,47,127,131,103
Kaže se da živi u drugom svetu. Intenzivna svetlost koju zrači sa površine svog tela može učiniti da najmračnije noći zasvetle poput podneva. Za ovog Pokemona se kaže da je muška evolucija Kosmoga. Aktiviranjem svog trećeg oka odlazi u drugi svet. Ponekad je rezultat njenog otvaranja Ultra crvotočine to što se energija i oblici života iz drugih svetova pozivaju ovde u ovaj svet.,34,2300,306,TRUE,FALSE,generation-vii,137,137,107,113,89,97
"Dok uljuljkava svoje neprijatelje svojim praznim izgledom, ovaj lukavi POKeMON će koristiti psihokinetičke moći. Uvek ga muči glavobolja. Koristi psihičke moći, ali se ne zna da li to namerava. Ima mistične moći, ali se ne seća da ih je koristio. Zato uvek izgleda zbunjeno.",8,196,64,FALSE,FALSE,generation-i,50,52,48,65,50,55
"Nakon dugog izlaganja sunčevoj svetlosti, šare na njegovim repnim perajima živo sijaju kada dođe mrak. Način na koji njegove dve repne peraje vijore dok pliva doneo mu je nadimak „LEPOTA mora“. Linija koja ide niz njegovu stranu može da skladišti sunčevu svetlost. Noću živo sija.",4,70,66,FALSE,FALSE,generation-iv,49,49,56,49,61,66
"Skrivajući se u munjevitim oblacima, leti širom regiona Unove. U svom repu stvara električnu energiju. Ovaj Pokemon se pojavljuje u legendama. U repu ima džinovski generator koji stvara struju. Ovaj legendarni Pokemon može da sprži svet munjom. Pomaže onima koji žele da izgrade idealan svet.",29,3450,306,TRUE,FALSE,generation-v,100,150,120,120,100,90
Ovaj Pokemon je klaster električne energije. Rečeno je da će uklanjanje prstenova na Regielekijevom telu osloboditi latentnu moć Pokemona. Njegovo celo telo se sastoji od jednog organa koji proizvodi električnu energiju. Regieleki je sposoban da stvori svu Galarovu električnu energiju.,12,1450,290,TRUE,FALSE,generation-viii,80,100,50,100,50,200
Crne kugle sijaju neobičnom svetlošću kada Pokemon podiže nevidljive barijere. Krzno sa brade dobro zadržava toplotu i veoma je koristan materijal za zimsku odeću.,18,951,263,FALSE,FALSE,generation-viii,103,105,72,105,75,65
"Kad se bori, kljun mu se zagreva. Temperatura može lako da pređe 212 stepeni Farenhajta, izazivajući teške opekotine kada udari. Unutar njegovog kljuna, njegov unutrašnji gas se pali, eksplozivno lansirajući seme sa dovoljno snage da usitnjava kamene gromade. Šljukaju kljunove sa drugima svoje vrste da bi komunicirali. Snaga i broj pogodaka govore jedni drugima kako se osećaju.",11,260,218,FALSE,FALSE,generation-vii,80,120,75,75,75,60
"Zarobljava neprijatelje svojim pipcima sa usisnim čašama, a zatim ih razbija glavom tvrdom kao kamen. Instinktivno se šunja u kamenite rupe. Ako mu se spava, krade gnezdo druge OKTILERIJE. Njen instinkt je da se zakopa u rupe. Često krade rupe za gnežđenje drugih da bi spavao u njima.",9,285,168,FALSE,FALSE,generation-ii,75,105,75,105,75,45
"Njegove kratke noge imaju usisne jastučiće koji mu omogućavaju da se neumorno penje uz kosine i zidove. Ako dodirnete pipalo na vrhu njegove glave, ispustiće užasan smrad da bi se zaštitio. Za zaštitu, ispušta užasan smrad iz antene na glavi da otera neprijatelje.",3,29,39,FALSE,FALSE,generation-i,45,30,35,20,20,45
"Očigledno ga svrbež izbijanja zuba tera da pukne čeljustima o bilo čemu ispred sebe. Počinje bitke napadom svojim rogom tvrdim kao kamen, ali čim se protivnik lecne, ovaj Pokemon ujede i nikada ne pušta.",3,85,57,FALSE,FALSE,generation-viii,50,64,50,38,38,44
Kandže ako je nezadovoljan i prede kada je ljubazan. Njegova prevrtljivost je među nekima veoma popularna. Svojim oštrim odsjajem dovodi neprijatelje u blago hipnotičko stanje. To je veoma prevrtljiv Pokemon. Krije svoju zlobnu tendenciju da zakači svoje kandže u nos svog trenera ako se ne hrani.,5,39,62,FALSE,FALSE,generation-iv,49,55,42,42,37,85
"Kada mu gori unutrašnja vatra, ne može da se smiri i juri okolo. Kad se vatra smanji, zaspi. Darumakin izmet je vruć, pa su ga ljudi stavljali u odeću da bi se zagrejali. Kada spava, uvlači svoje udove u svoje telo i njegova unutrašnja vatra se spušta na 1.100° F.",6,375,63,FALSE,FALSE,generation-v,70,90,45,15,45,50
Terapagos se štiti koristeći svoju moć da transformiše energiju u tvrde kristale. Ovaj Pokemon je izvor fenomena Terastal. Smatra se da je ovaj Pokemon živeo u drevnoj Paldei sve dok nije bio uhvaćen u seizmičkim pomacima i izumro.,2,65,90,TRUE,FALSE,generation-ix,90,65,85,65,85,60
"Obnovljen iz fosila, ovaj Pokemon može zaroniti do dubine preko pola milje. Pre oko 100 miliona godina, ovi Pokemoni su plivali u okeanima. Smatra se da su i oni otišli ​​na kopno da napadnu plen. Ovaj Pokemon je obnovljen iz fosila. Vešto je plivao i zaronio do dubine preko pola milje.",7,165,71,FALSE,FALSE,generation-v,54,78,103,53,45,22
"Sa dolaskom noći, VOLBEAT emituje svetlost iz svog repa. Komunicira sa drugima podešavanjem intenziteta i treptanja svoje svetlosti. Ovaj POKeMON je privučen slatkom aromom ILLUMISE-a. VOLBEAT-ov rep sija kao sijalica. Sa drugim VOLBEAT-om, koristi svoj rep za crtanje geometrijskih oblika na noćnom nebu. Ovaj POKeMON voli slatku aromu koju daje ILLUMISE. Sa upaljenim zadnjim svetlima, VOLBEAT lete u roju, crtajući geometrijske dizajne na noćnom nebu. Pomeraju svoja gnezda ako im se voda u ribnjaku zaprlja.",7,177,151,FALSE,FALSE,generation-iii,65,73,75,47,85,85
"Preko zime zatvara pupoljak i podnosi hladnoću. U proleće se pupoljak otvara i oslobađa polen. Živi pored čistih bara. Raspršuje polen koji izaziva oštro kijanje i curenje iz nosa. Osetljiv na promenu temperature, kaže se da pupoljak cveta kada oseti topli dodir sunca.",2,12,56,FALSE,FALSE,generation-iv,40,30,35,50,70,55
"Floragato spretno rukuje lozom skrivenom ispod njenog dugog krzna, udarajući tvrdi cvetni pupoljak o svoje protivnike. Tvrdoća Floragatovog krzna zavisi od Pokemonovog raspoloženja. Kada je Floragato spreman za borbu, njegovo krzno postaje šiljasto i oštro iglo.",9,122,144,FALSE,FALSE,generation-ix,61,80,63,60,63,83
"Ako izgubi očnjak, na njegovo mesto izrasta novi. U ustima mu je uvek 48 očnjaka. Prilikom napada široko otvara svoje ogromne čeljusti. Ako izgubi bilo koji očnjak dok ujede, oni ponovo izrastu. Vrhovi njegovih očnjaka su nagnuti unazad. Kada se ti očnjaci stisnu, plen nema nade da pobegne.",11,250,142,FALSE,FALSE,generation-ii,65,80,80,59,63,58
"Čuperak na glavi drži vodu. Kada nivo padne nizak, on dopunjuje čuperak tako što svojim repom sifonira vodu. Voda pod visokim pritiskom izbačena iz njegovog repa je toliko moćna da može da uništi betonski zid. Preferira mesta sa čistom vodom. Kada mu se čuperak ponestane, on ga nadopunjuje tako što repom izvlači vodu.",10,290,174,FALSE,FALSE,generation-v,75,98,63,98,63,101
"Postoji trajna legenda koja kaže da je ovaj Pokemon vukao kontinente konopcima. Rečeno je da je napravio Pokemone koji liče na sebe od posebne ledene planine, stena i magme. Veruje se da je oblikovao REGIROCK, REGICE i REGISTEEL od gline, leda i magme.",37,4200,302,TRUE,FALSE,generation-iv,110,160,110,80,110,100
"Strah izliven u drevni ritualni sud zaogrnuo se kamenjem i prljavštinom da bi postao Pokemon. Polako spušta svoju izuzetno tešku glavu na zemlju, razdvajajući zemlju ogromnim pukotinama koje sežu preko 160 stopa duboko.",27,6997,285,TRUE,FALSE,generation-ix,155,110,125,55,80,45
"Ovaj Pokemon je proždrljivac, ali je loš u dobijanju hrane. Udružuje se sa Tatsugirijem da uhvati plen. Tretira Tatsugirija kao svog šefa i lojalno ga prati. Iako moćan, Dondozo očigledno nije baš pametan.",120,2200,265,FALSE,FALSE,generation-ix,150,100,115,65,65,35
"Njegovo gusto i mekano krzno štiti ga od hladnoće i omogućava mu da koristi žešće vatrene pokrete. Izbacuje bobice pravo sa grana drveća, a zatim žonglira sa njima nogama, vežbajući rad nogu.",6,90,147,FALSE,FALSE,generation-viii,65,86,60,55,60,94
"AZURIL vrti rep kao da je laso, a zatim ga baca daleko. Zamah bacanja šalje i njegovo telo u let. Koristeći ovu jedinstvenu akciju, jedan od ovih POKeMON-a je uspeo da se baci rekordnih 33 stope. AZURILOV rep je veliki i poskočan. Prepun je hranljivih sastojaka koji su ovom POKeMON-u potrebni da raste. AZURIL se može videti kako poskakuje i igra na svom velikom, gumenom repu. Njegov rep, koji je prepun hranljivih materija, veoma je poskakiv poput gumene lopte. Za sunčanih dana okupljaju se na ivici vode i prskaju iz zabave.",2,20,38,FALSE,FALSE,generation-iii,50,20,40,20,40,20
Prašinaste ljuske koje pokrivaju njegova krila označene su bojama da ukazuju na vrste otrova koje ima. Prašinaste ljuske koje pokrivaju njegova krila označene su bojama koje označavaju vrste otrova koje ima. Praškaste ljuske na njegovim krilima teško se uklanjaju. Oni takođe sadrže otrov koji curi pri kontaktu.,15,125,158,FALSE,FALSE,generation-i,70,65,60,90,75,90
"Oni svoj dom prave u pustinjama. Oni mogu da generišu svoju energiju iz grejanja na suncu, tako da jedenje hrane nije uslov. Nabori sa obe strane glave imaju ćelije koje proizvode električnu energiju kada su izložene sunčevoj svetlosti. Kada se rašire, nabori na njegovoj glavi deluju kao solarni paneli, stvarajući snagu iza električnih pokreta ovog Pokemona.",5,60,58,FALSE,FALSE,generation-vi,44,38,33,61,43,70
"On skladišti zapaljivi gas u svom telu i koristi ga za stvaranje toplote. Žuti delovi na njegovom stomaku postaju posebno vrući. Svojim zagrejanim telom obavija plen, kuvajući ga u kolutovima. Jednom kada budu dobro gotovi, halapljivo će ih grickati do poslednjeg zalogaja.",7,10,61,FALSE,FALSE,generation-viii,50,65,45,50,50,45
"Brzim pokretima juri svoje neprijatelje, nemilosrdno napadaju rogovima dok ne prevladaju. Veoma agresivan, koristi kandže blizu svog vrata da kopa u svoje protivnike i otruje ih. Hvata plen kandžama na vratu dok ne prestane da se kreće. Zatim ga završava smrtonosnim otrovom.",25,2005,218,FALSE,FALSE,generation-v,60,100,89,55,69,112
"Što se ovaj Pokemon kupa u više sunčeve svetlosti, njegovo telo proizvodi više začinjenih hemikalija, a samim tim i njegovi pokreti postaju začinjeniji. Tradicionalna paldeanska jela mogu biti izuzetno začinjena jer među svoje sastojke uključuju ispuštene prednje zube Capsakida.",3,30,61,FALSE,FALSE,generation-ix,50,62,40,62,40,50
"Ovaj Pokemon obično sporo reaguje, ali kada uđe u bitku, udariće svoje neprijatelje munjevitim pokretima. Pavmotovo puhasto krzno deluje kao baterija. Može da skladišti istu količinu električne energije kao električni automobil.",9,410,245,FALSE,FALSE,generation-ix,70,115,70,70,60,105
"Kada se Reuniklus rukuje, između njihovih mozgova se formira mreža, povećavajući njihovu psihičku moć. Ovi izuzetno inteligentni Pokemoni se bore tako što kontrolišu ruke koje mogu da se drže snagom lomljenja kamenja. Oni koriste psihičku moć da kontrolišu svoje ruke koje su napravljene od posebne tečnosti. Oni mogu psihički da zgnječe kamene gromade.",10,201,221,FALSE,FALSE,generation-v,110,65,75,125,85,30
LUVDISC žive u plitkim morima u tropima. Ovaj POKeMON u obliku srca dobio je ime plivajući po ljubavnim parovima koje je uočio u talasima okeana. LUVDISC-ovo telo u obliku srca je simbol ljubavi i romantike. Kaže se da je svakom paru koji upozna ovaj POKeMON obećana ljubavna veza koja nikada ne prestaje. LUVDISC prave svoje gnezde od grana CORSOLA. Od davnina postoji običaj da se LUVDISC poklanja za izražavanje osećanja ljubavi.,6,87,116,FALSE,FALSE,generation-iii,43,30,55,40,65,97
"Veoma konkurentan, ovaj POKeMON će juriti sve što se brzo kreće u nadi da će se takmičiti. Samo voli da trči. Ako nešto vidi brže od sebe, pojuriće se najvećom brzinom. U punom galopu, njegova četiri kopita jedva dodiruju tlo jer se kreće tako neverovatno brzo.",17,950,175,FALSE,FALSE,generation-i,65,100,70,80,80,105
"Ogorčenost osobe koja je kažnjena zato što je napisala kraljeva zla dela na drvenim pločama zaogrnula se u mrtvo lišće i postala Pokemon. On crpi životnu snagu iz vegetacije, uzrokujući da obližnje šume trenutno venu, a polja postaju neplodna.",15,742,285,TRUE,FALSE,generation-ix,85,85,100,95,135,70
"Jataju u velikom broju. Iako mali, mašu krilima sa velikom snagom. Obično sa velikim jatom, jedva je primetan kada je sam. Njeni povici su veoma oštri. Pošto su pojedinačno slabi, formiraju grupe. Međutim, oni se svađaju ako grupa postane prevelika.",3,20,49,FALSE,FALSE,generation-iv,40,55,30,30,30,60
"Grupe njih su tukle sve što uđe na njihovu teritoriju. Svako može da ispljune kiselu tečnost iz svojih usta. Može da razbije betonske blokove svojim udarima nogama. Onaj sa najvećim grbom je vođa grupe. Podiže svoju izbačenu kožu da bi se zaštitio dok udara. Što je grb veći, to se više poštuje.",11,300,171,FALSE,FALSE,generation-v,65,90,115,45,115,58
"Kada se krila i repno perje ovog legendarnog Pokemona rašire i zasijaju crveno, ono upija životnu snagu živih bića. Kada se njegov život završi, on upija životnu energiju svakog živog bića i ponovo se pretvara u čahuru.",58,2030,306,TRUE,FALSE,generation-vi,126,131,95,131,98,99
"Klizi prema ljudima. Zatim, bez upozorenja, pokreće eksploziju sopstvene glave. Očigledno je to jedna vrsta Ultra zveri. UB koji se pojavio iz ultra crvotočine, izaziva eksplozije, a zatim koristi iznenađenje protivnika da im oduzme vitalnost.",18,130,257,FALSE,FALSE,generation-vii,53,127,53,151,79,107
"ELEKTRIKA skladišti električnu energiju u dugim dlačicama na telu. Ovaj POKeMON stimuliše mišiće nogu električnim nabojem. Ovi udari snage daju njegovim nogama eksplozivne performanse ubrzanja. ELEKTRIKA radi brže nego što ljudsko oko može da prati. Trenje od trčanja pretvara se u električnu energiju, koja se zatim skladišti u krzno ovog POKeMON-a. On proizvodi električnu energiju koristeći trenje iz atmosfere. U godišnjim dobima sa posebno sušnim vazduhom, celo njegovo telo plamti od silnih pljuskova varnica.",6,152,59,FALSE,FALSE,generation-iii,40,45,40,65,40,65
"Iako je u stanju da uhvati plen zamrzavanjem okoline, ima problema da kasnije pojede plen jer su mu usta na vrhu glave. Koža na njegovom licu je otporna na napade, ali je zbog poteškoća sa disanjem ovaj Pokemon ionako izumro.",20,1750,177,FALSE,FALSE,generation-viii,90,90,100,80,90,55
ROZELIJA gađa oštre trnje kao projektile u svakog protivnika koji pokuša da ukrade cveće na njegovim rukama. Aroma ovog POKeMON-a donosi spokoj živim bićima. U izuzetno retkim prilikama se kaže da se rozelija pojavljuje sa svojim cvetovima neobičnih boja. Trnje na glavi ovog POKeMON-a sadrži opaki otrov. ROZELIJA koja pije izvorsku vodu bogatu hranljivim sastojcima cveta divnim cvetovima. Miris njegovog cveća čini njegove neprijatelje nemarnim.,3,20,140,FALSE,FALSE,generation-iii,50,60,45,100,80,65
"BEAUTIFLI-jeva omiljena hrana je slatki polen cveća. Ako želite da vidite ovaj POKeMON, samo ostavite cvet u saksiji pored otvorenog prozora. LEPA će sigurno doći da traži polen. BEUTIFLI ima duga usta poput namotane igle, što je veoma zgodno za sakupljanje polena sa cveća. Ovaj POKeMON jaše prolećne vetrove dok lebdi okolo skupljajući polen. Njegova krila sa šarenim šarama su njegova najistaknutija karakteristika. Leti kroz polja prekrivena cvećem sakupljajući polen. Napada žestoko kada je ljut.",10,284,178,FALSE,FALSE,generation-iii,60,70,50,100,50,65
"Koristeći hranu pohranjenu u kesicama za obraze, mogu da čuvaju stražu danima. Oni koriste svoje repove za komunikaciju sa drugima. Izuzetno oprezni, smenjuju se kako bi stalno pazili na svoje gnezdo. Osećaju se nesigurno bez nadzora. Izuzetno oprezan, jedan od njih će uvek biti na oprezu, ali neće primetiti neprijatelja koji dolazi s leđa.",5,116,51,FALSE,FALSE,generation-v,45,55,39,35,39,42
